review_text,compound,positive,negative,neutral,sentiment
"I received this product from influenster and Google for my honest review. This is my first time receiving an electronic device from influenster and I'm excited. The Google Pixel 9 Pro is amazing. Super easy to transfer my info into the new phone and like always with a new phone. The fun part is to get to know it and it's new features, well the pixel 9 pro has Gemini and amazing camera. I'm very happy and can't wait to use it more and find out what other features this phone has. Thank you Influenster",0.9867,0.301,0.0,0.699,Positive
"The Google Pixel 9 Pro is a fantastic smartphone that offers a compelling blend of cutting-edge technology and user-friendly features. Its stunning display delivers vibrant colors and sharp details, making it a joy to use. The powerful camera system captures stunning photos and videos, even in low-light conditions. The phone's performance is smooth and efficient, thanks to Google's Tensor G2 chip. While the battery life could be better, the overall experience is impressive. If you're looking for a phone that offers a unique blend of hardware and software, the Pixel 9 Pro is definitely worth considering.",0.9874,0.329,0.0,0.671,Positive
"I always loved Google products but was thrilled to get the phone. The Pixel 9. Wow, Google outdid themselves and the quality and specs are amazing with the camera, front and back,  apps, processor,  speed, battery, everything a Mobile phone needs. I will switch my phone to this and cant wait.  Its also not bulky either,  I love it,  thanks again!",0.9538,0.273,0.06,0.668,Positive
Very nice phone. The set up was helpful and easy. So many new google features included that it’s almost overwhelming. Excellent camera quality. I love the feel and weight of the phone as well. My overall impression of the pixel 9 pro is very favorable. I can’t wait to use it for content.,0.9713,0.362,0.0,0.638,Positive
"Nice phone and very easy to use. It took a while (20-30 mins) to transfer my photos and videos over but I have a lot, so it’s understandable. Great camera quality with a few different settings to choose from . The pictures literally came out crystal clear!",0.9292,0.265,0.0,0.735,Positive
"This phone is very nice, I’m really pleased with it. It has excellent camera quality, much better than my iPhone 14 Pro Max!! My AirPods connect to this phone. Has great battery life, overall great phone and I love it!!",0.9808,0.453,0.0,0.547,Positive
"I’ve been using the Pixel 9 Pro for about a month, and overall, it’s been a great experience. The camera is hands down the best feature – photos are sharp, colors are vibrant, and the Magic Editor makes editing so easy. The new AI features like “Add Me” in group photos are super useful too.

The screen is beautiful, bright, and easy to use outdoors, though the low PWM rate can be uncomfortable for long use in dim lighting. The battery life is okay – it lasts a full day with light to moderate use, but heavy tasks like gaming or navigation drain it pretty quickly.

Performance-wise, it’s smooth for everyday apps, but the Tensor G4 isn’t as fast as Snapdragon chips in some competitors. It handles multitasking well but can lag slightly during intensive gaming sessions.

I had some minor issues with the in-display fingerprint sensor, especially with a screen protector, but face unlock works reliably. The 7-year update guarantee is a big plus, and the overall software experience is clean and intuitive.

If you’re into photography and AI features, the Pixel 9 Pro is worth it. Just keep in mind the battery and performance trade-offs!",0.9855,0.199,0.03,0.772,Positive
This is an excellent phone. The picture quality is amazing. The phone is little heavier than expected but amazing. Love the way my pictures are.,0.9497,0.429,0.0,0.571,Positive
This phone is great! It is nice and slim the case i pit on it makes it thicker. And protects the fabulous camera it comes with when not taking pictures. Fits in my hand great. The battery life is also phenomenal as I do a lot of video chatting and watching tutorials. I'm an android person so this is great. My issue and the reason I gave 4 stars is that the 3 button bottom controls I cannot change the order of. I like the far right button to be my back button. I am most certainly most used to it being there and have in the past been able to rearrange these buttons but was unable to do that on this phone. Everythinfg else about this phone is great!,0.9695,0.186,0.0,0.814,Positive
"I liked the phone at first sight. It feels very nice in the hands. I will describe it in details. The Pixel 9 Pro has a stunning display, making it perfect for watching videos, browsing the web, and gaming. The screen is vibrant and colorful, with deep blacks and excellent contrast. The phone's design is sleek and premium, with a metal frame that feels solid in the hand.
The camera on the Pixel 9 Pro is arguably its strongest feature. The camera app is intuitive and easy to use. The results are stunning, with crisp and detailed photos that rival those taken with professional cameras. The camera also excels in low-light conditions, capturing images with minimal noise and excellent color accuracy. 
The Pixel 9 Pro is powered by a large battery and a fast charging system that can top up the battery in the short time. The phone is incredibly fast and responsive, with seamless performance even when running demanding apps and games.
The Google Pixel 9 Pro is an exceptional smartphone that's sure to please even the most demanding users. Its exceptional camera, lightning-fast performance, and sleek design  undoubtedly allow us to occupy a leading position in the market. Due to the excellent quality I definitely recommend this phone, it won't let you down.",0.9942,0.244,0.024,0.732,Positive
"This is my first time in forever consistently using a phone other than iPhones but I love this phone. I love the design of the phone and all of its features. It’s easy to manage the apps and settings to set the phone up how I would like it. The battery life has lasted for a bit but I haven’t been on it much for it to drain. The camera quality was top tier, at least in my opinion. I’m still exploring the phone but I love everything about it so far, I would definitely recommend this!",0.9892,0.297,0.0,0.703,Positive
"I love this phone. It has amazing security features and the phone is made to make life easier. I've always been a Samsung girl but Google may have me if they continue to make amazing phones. The pictures are of amazing quality, love the AI photo generator. Honestly I could go on and on. I've already dropped it but it proved to be pretty durable. Good battery life but one thing I didn't like is the 2 sided C charger it comes with which has led me to keep using my other charger.",0.9885,0.32,0.023,0.657,Positive
"This phone is great!! I've always been a Samsung Galaxy user and the Google Pixel is super user friendly, more intuitive even than the Galaxy. The camera is amazing!! I've never used a phone with such a great selfie camera. Also, I live in Google so having a pixel really fits into my day to day. Plus... It's really lightweight and easy to hold. Can't wait to love this phone for years to come.",0.9685,0.264,0.038,0.698,Positive
"I have used the phone for about a month now and I'm am amazed wow! The camera quality on this phone is amazing. I've never had a google pixel before, but I am truly amazed.Im very adjusted to android, so it was hard for me to get used to the interface.Battery has been pretty good all day usually have to just charge it at night.Really love this phone!",0.9758,0.304,0.024,0.672,Positive
"I’m an Apple user through and through, but the Google Pixel 9 Pro really has me thinking to switching teams. The battery life is much longer, the camera is better, the phone also feels much more durable than the iPhone. I’m trying to get used to the functionality, which has been a bit tough. But overall this is a solid  device!",0.6476,0.096,0.028,0.876,Positive
"The camera is a standout—it handles low-light shots exceptionally well, and colors look natural without being over-processed. Google’s AI features, like magic eraser and photo unblur, make quick edits super easy and genuinely useful. The display is sharp and smooth, with a high refresh rate that makes streaming and scrolling feel responsive. Battery life holds up well, generally lasting through the day, and charging is quick enough to keep up if needed.

Overall, it’s a powerful phone with impressive features, especially if you’re into photography and already use Google’s ecosystem.",0.9778,0.267,0.0,0.733,Positive
"A very cool phone! I'm an iOS user, but I like this phone, its concise size. It connects to your iPhone and, if anything, serves as a spare phone. As a UX creator, I need a good phone camera, the Google phone camera seemed faded to me. So he's not right for my job. But otherwise, it's great because it keeps the battery for up to two days! It is fast in operation and performs all the necessary functions. I'm going to give it to my father-in-law because he has a regular push-button phone that I can't send him a photo of his grandson lol. But I would recommend having such a phone",0.9722,0.187,0.0,0.813,Positive
Good camera and great phone overall! I like the curved edges and how I can easily navigate through my various opened apps running in my background. I do wish this phone was a little bigger since I'm accustomed to having big phones.,0.9312,0.311,0.0,0.689,Positive
The performance is really fast it has a good battery life the design is really nice because it has two cameras the camera quality is excellent to take pictures the user interface easy to use but its very slippery the phone,0.7428,0.187,0.0,0.813,Positive
Received free for my honest opinion. I’m more familiar with apple phones so I’m still trying to get use to it but so far I like it. My daughter loves it. Good battery life so far.,0.9507,0.36,0.0,0.64,Positive
This phone is awesome has a great camera. The battery life is amazing. I didn’t have any problems with connectivity. Super user friendly. The color is super cute!,0.9766,0.559,0.057,0.383,Positive
"Great Performance  Great Durability  Awsome  Battery life,  Love the Design,  Great Value for Money. I really like this Phone alot.... And Very Pleased with it .",0.9773,0.594,0.0,0.406,Positive
"Honestly, this product is so nice and has so many better features than an iphone. The only downside is that communicating with other people is hard.",0.8123,0.286,0.099,0.614,Positive
"This pixel nine Pro is quite responsive has an excellent modem, has a screen better than the iPhone and photography better than iPhone. The pixel is also less expensive and has more consistent updates. There are several additional features are unavailable on iPhone, which in my experience are quite superior. It has long lasting battery life as well. The form factor is excellent in the phone is significantly lighter than the larger iPhone. The screen is excellent and higher resolution. The photo processing features are superior. Android has incredible flexibility in user experience and several add-ons are now present. The Gemini is surprisingly useful in multiple applications and there are excellent guides to help you make these features useful. The privacy concerns when using Google environment have been mitigated. The privacy dashboard is quite specific and much more simple than was seen previously. You are not forced to use the keyboard, or Google Chrome. The AI features even improves things like the weather app, allows image creation in pixel studio, significantly improves, photo editing, and photo 
composition and has an interesting summarize your call feature which automatically takes notes after announcing it presence. Other actual useful additions include screenshot application and several Google applications, which are now superior to their iPhone counterparts.",0.9964,0.266,0.0,0.734,Positive
"As an iPhone girl - I’m actually impressed with this phone. Genuinely. It’s got a good weight and size to it. I previously had an iPhone 13 mini, and while this phone is bigger it doesn’t feel monstrous. It’s sleek, it takes great pictures (admittedly better than my iPhone) and it looks nice. I would have no problem trading in my snobby blue texts for green texts for this phone. I did minus one star - I have hardly anything loaded on the phone so far and it was overheating just sending text messages. Which is a little concerning, given that should be an easy task.  It also froze up a few times when texting or taking photos. Overall, I’ll happily continue to use it and the overall phone is great. Just a few bugs that need to be worked out.",0.9628,0.171,0.049,0.779,Positive
"The Google Pixel 9 Pro is a pretty nice smartphone. 

One of the things I immediately loved about it is that there’s no bloatware installed—it’s a clean and efficient experience right out of the box. A

And the transfer process was fast and activating the phone was the easiest I’ve ever experienced. It only took a few clicks, and I didn’t even have to enter SIM numbers.

For photos, the Pixel 9 Pro is a bit of a mixed bag. The photo quality is good, but compared to my previous Android, the normal photos didn’t quite measure up. That said, the photo editing features are phenomenal—definitely a step above what other Android phones offer.

One downside for me is the base storage. The 128GB model just doesn’t cut it for my needs. In my opinion, 256GB should really be the minimum standard these days, especially for a flagship phone like this.

On the positive side, the UI is very customizable, which was a pleasant surprise. I had a lot of fun using the AI tools to create my own background and tweaking the color scheme to my liking. That kind of personalization adds a nice touch. However, I don’t understand why the Google search widget at the bottom of the home screen is immovable. It’s frustrating, and I wish they’d allow more flexibility there.

The display is fantastic—vibrant and smooth—and the charging capabilities are top-notch. The phone charges incredibly fast and the battery lasts seemingly forever. That’s a major win for anyone who’s always on the go.

I think there may be a big as when I read a text and replied, the text thread remains bold and unread for about 2 seconds. I updated the software and rebooted and this still happens. A minor annoyance but not a huge deal. 

I also love that the phone has crash detection and satellite SOS enabled. These safety features really need to become standard on all smartphones and I'm so glad the Google Pixel 9 series phones have these features.

Overall, I do like the phone. While there are a few quirks and areas for improvement, it’s still an impressive device for anyone looking for a flagship experience.",0.997,0.224,0.054,0.723,Positive
"With Google's robust marketing campaign across social media and television for the Pixel 9 Pro, I've been surrounded by the hype!

As someone who has always been loyal to Samsung flagship devices, I couldn't help but feel tempted by the enticing promises offered by Google. I was excited to spend some time with the Pixel 9 Pro and see whether I would stick with Samsung or venture into a new path.

The phone's satisfying weight feels just right in my hand, and its dimensions are nicely balanced—not too bulky. However, I did notice that it can slip out of my grip quite easily without a case. Having had the device ""get away from me"" a few times, I can confidently say it holds up well to wear and tear.

The Google Pixel 9 Pro feels fresh and unique compared to most phones released this year. Upon its arrival, I was immediately taken by its sleek design, exceptional cameras, and remarkable new AI features. It has shown to be a formidable rival to my Samsung Galaxy S22.

Camera:
Images look great in all kinds of lighting, and the AI enhancements, such as Pixel Studio, add to the overall experience. However, images are not quite as vivid as with my Samsung. The video quality is excellent.


Battery life:
Top tier, even with heavy content creation use, I could get through most of the day without charging. Charging time is zippy.
 
Design: The Google Pixel 9 Pro is a testament to its sleek, premium design. Its 'Hazel' color, a sophisticated green-greige, adds a modern touch to its appearance. Holding it, I couldn't help but be impressed. The lens bar at the back of the device enhances its aesthetics.



Interface: Less bloated than Samsung.

Software: The Android experience is relatively smooth, offering the latest features and rapid updates due to Google's direct access to the operating system. However, as a long-time Android user of Samsung devices, I noticed that many of the features on the Pixel 9 Pro were already available to me. Additionally, several Google products with the Pixel 9 Pro are not new to other Android users who regularly install updates.

The Pixel 9 features a new AI assistant called Gemini, which promises to offer advanced assistance. One notable component is ""Gemini Live,"" a mobile conversational experience that allows users to engage in fluid conversations with Gemini. However, this feature is only available to Gemini Advanced subscribers. Personally, I have no interest in casually chatting with AI chatbots, so Gemini does not appeal to me as a selling point.

Speaker volume: It has good depth, nice bass, and is less tinny than my Samsung. However, the maximum volume could be higher.

Overall, the Pixel 9 Pro is a strong option if you're in the market for a new phone that meets all your needs in terms of design and technology. However, it doesn't stand out enough for me to consider switching from my Samsung Galaxy devices, which offer comparable features and quality.",0.9982,0.178,0.014,0.809,Positive
This phone is perfect and classier  from the solid built which encase all this new technology to the swiftness in which it reacts. It is easy to download apps and the features make it easy to access information. The battery life is great as I went 2 days without having to recharge. The screen while not being the largest still allows for total clarity and visual ease. Google have outdone themselves and have really shown up and out with this new device.,0.9607,0.218,0.0,0.782,Positive
"*I received this product via influenster for free in exchange for an honest review*

I have had an iPhone for the last 4 or so years and have slowly started to look into other options when my battery started to decline fast. The google pixel 9 pro has a great battery life so far. After working all day it's only in the 70s not 20s like my iPhone would be. The camera is great so far. I'm still learning how to use this phone but so far has been great.",0.9259,0.156,0.016,0.828,Positive
"This review is coming from someone that has been using a pixel phone for the past 15 years. Also, I was using a pixel 8 before I made this update to the pixel 9 Pro. Software wise. It's pretty seamless. Moving all of my apps and data and files from my pixel 8 to this pixel 9 Pro was incredibly easy. Everything is really well integrated and while it did take some time because I have a lot of photos and videos, it did in one go without any issues. Everything is so smooth on the pixel 9 Pro. It runs so fast. The screen looks absolutely amazing, and my favorite feature is of course the camera on the pro. It's absolutely stunning and the videos only get better and better with every iteration of the pixel. I can't wait to try this out to its full capacity. Battery life is amazing as usual, but not surprising for my new phone. No issues yet after 3 days of trial.",0.897,0.123,0.03,0.848,Positive
I received this Google Pixel 9 Pro phone for free in exchange for a review.  It has so many new features that I didn't know about.  Such as a thermometer to measure surface temperatures.  The phone has great performance and is fast.  It comes with Android 15.  The camera is phenomenal.  The connectivity is awesome.  The durability is great.  The battery life is good.  It appears to be very user friendly.,0.9719,0.268,0.0,0.732,Positive
"I have never used a Google Pixel phone until now, and I must say that this phone is top-notch! It's fast, holds a charge incredibly long, and the pictures are clearer than any phone I've ever owned. I am blown away by how user-friendly this phone is! It was ready to go right out of the box. It was so easy that I gave this to my grandson for his 1st phone, and he has been ecstatic!",0.8864,0.133,0.0,0.867,Positive
So first thought out of the box was impressed on weight and durability of the phone..so far it's been working great no issues and the quality of pictures is insane. Haven't had it die as I usually always charge it at night but battery lasts all day from 6 to 1030 usually when I plug it in. No issues surfing the web or scrolling through tiktok,0.1086,0.095,0.089,0.815,Positive
"Google pixel 9 pro is by one of the best phones I've ever owned,the battery life is amazing it last for hours and the connectivity is amazing its has a sleek design and light weight the picture quality is great i hight recommend anyone to upgrade this is the best durability is perfect and very high performance with pictures",0.9805,0.349,0.0,0.651,Positive
"Love this phone. Long time google user, everything works seamlessly and the transfer from my old phone is super simple. The camera quality on both the front and back camera is excellent. And the phone is very fast and responsive. I love that I can get the Pro version without having to get a bigger phone",0.9626,0.281,0.0,0.719,Positive
"I love the Google Pixel phones, and the Pixel 9 Pro features are better than the Pixel 6. Better camera and video features that can be edited without having to download additional apps. It charges faster with longer battery life. The camera has automatic focus with a better camera lens.",0.8957,0.226,0.037,0.737,Positive
"I love the speed of this phone! Apps open and run smoothly and  are easy to close. I love to take photos, which is why I chose this product, to see if it was a good camera. I have to say, it is a very nice camera with lots of different settings that can make a bland photo beautiful!",0.9712,0.321,0.0,0.679,Positive
The camera is everything! Super sharp and crisp features. I love the editable features!!!  It was super easy to set up and transfer to this device from my Android. I love it! Super durable and easy to hold. Battery life lasted forever. Quickly charged. Super fast processor.,0.9851,0.45,0.026,0.523,Positive
"This phone is so much fun! The new built in AI software makes this the most customizable phone I've ever used. The thing I love most about this phone is definitely the camera. I love photography, and the pictures I get from this phone are absolutely beautiful!",0.9659,0.333,0.0,0.667,Positive
"This phone is amazing and I love it. It works great and all the features are simply amazing. Next I'm looking at getting the watch just because of how much I love this phone. I am obsessed that it can take your temperature, like how awesome is that?",0.9799,0.408,0.026,0.566,Positive
The performance on this phone is great. It was super easy to activate! The battery lasts better than the last! The camera is pretty good. This phone is basic which is perfect for those who struggle with technology. Husband loves it.,0.979,0.448,0.037,0.515,Positive
I am definitely a fan of this phone! The camera is perfection! That is one of the most important features for me. It was easy to set up and transfer data from my iPhone to this android device. I love it!,0.9569,0.37,0.0,0.63,Positive
The pixel 9 pro is a good phone. Very fast processor. Battery last a long time. The camera is great. Takes very beautiful pictures. I’ll definitely recommend this phone.,0.9468,0.438,0.0,0.562,Positive
Lightweight and easy to set up.  The swipe motions aren't exactly intuitive which makes the absence of a home button a bit more difficult.  Screen looks great.,0.6378,0.22,0.088,0.692,Positive
"Okay, seriously, this Pixel 9 Pro is the bomb. To be clear, my last pixel was the OG pixel, prior to that the nexus 6p. After that i have owned oneplus 6T, 7T pro mclaren and most recently 9 pro. They have been fantastic phones and overall i cannot complain, however one thing i find lacking with the 1+ has always been the camera. With the pixel, I was blown away by the camera the second I unboxed it. The pictures are just stunning! Like, seriously, the detail is insane, and it takes incredible photos even in the dark. I have included multiple examples of this. I am not much into video so i cannot comment on this vs say the iphone.   
The phone itself is super snappy and responsive. I haven't experienced any lag at all, which is a huge plus. I was worried about the tensor especially coming from my snapdragon. No drop off at all. I will say, i do feel that candybar phones have plateaued in that if you have a recent flagship, it probably has capable hardware to last another 5 years without feeling outdated. I do not feel an insane increase in smoothness with the pixel compared to mye 1+ but that is because the plus was also spec’d out even 3 years ago. The biggest difference with the pixel is the battery life which was  a total game-changer. I can easily make it through a full day of heavy use without even thinking about charging. I usually have about 50% due to how efficient the pixel software is with “pure android”. 
And let's talk about the display. It's absolutely gorgeous. Super bright, vibrant colors, and it's just a joy to look at. I love how it feels in my hand too – it's big enough for a great viewing experience, but still comfortable to hold and use one-handed. This was a big departure from my usual inclination towards XL versions.
The software is really clean and intuitive. I'm a big Google Assistant fan, and it's seamlessly integrated into the phone. My entire house is set up with android tv, lights, garage and it is extremely nice to be able to have my phone at the center of all that in conjunction with the google home speakers. Overall, I'm seriously impressed with this phone. It's definitely one of the best I've ever used and i feel privileged to have been able to daily it for 2 months now""

Caveats: i do not game on my phone and as such i cannot tell you how the tensor chip performs compared to SD.

I also think even though the phone performs well, i am not sure how “future proof” it is because the specs are a bit underwhelming. Basically, it works well now, but unlike my 1+ that still seems to be going on strong other than battery, im not sure if this phone is hardware proof for the next 5 years especially for the price.",0.9986,0.211,0.035,0.755,Positive
